Name;XY Scope Project;
File;E:\hawino\Measurements\VarianceMeasurement\NewVarinaceMeasurements\Scope Project.csv;
Starttime of export;133228415217429000;Donnerstag, 9. März 2023;14:18:41.742
Endtime of export;133228415441340474;Donnerstag, 9. März 2023;14:19:04.134


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;vYworldToSimulink;vXworldToSimulink
SampleTime[ms];10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851

2250;1623.95654296875;1000.3490600585938;1875;1000;-5.1025130210802985;515.32861735071435
2260;1652.52099609375;1003.2051391601563;1875;1000;29.22032041321485;497.04116020025981
2270;1652.52099609375;1003.2051391601563;1875;1000;39.624718442198791;504.10085180850365
2280;1652.52099609375;1003.2051391601563;1900;1000;22.057551073467522;514.69116227052677
2290;1652.52099609375;1003.2051391601563;1900;1000;12.19067308841332;509.279206724159
2300;1666.897216796875;1002.3573608398438;1900;1000;31.704239115777753;491.15460752195025
2310;1666.897216796875;1002.3573608398438;1900;1000;8.2384319637680647;518.72659213096381
2320;1666.897216796875;1002.3573608398438;1900;1000;-34.543875370642269;547.29875097114609
2330;1666.897216796875;1002.3573608398438;1925;1000;-2.3250945066821629;500.29527033935079
2340;1682.381103515625;1003.3055419921875;1925;1000;29.903533787771032;503.29554780063143
2350;1682.381103515625;1003.3055419921875;1925;1000;11.801623264138556;545.70976784832726
2360;1682.381103515625;1003.3055419921875;1925;1000;-11.719301094888706;511.26216541373782
2370;1682.381103515625;1003.3055419921875;1925;1000;-17.860415843899432;510.43975514089715
2380;1682.381103515625;1003.3055419921875;1950;1000;37.277223843192857;542.02491444080192
2390;1714.31591796875;1003.894775390625;1950;1000;23.720478695968055;571.31740141395551
2400;1714.31591796875;1003.894775390625;1950;1000;-62.9325176394791;551.73480779522129
2410;1714.31591796875;1003.894775390625;1950;1000;-42.204604737870554;512.02192531857156
2420;1714.31591796875;1003.894775390625;1950;1000;8.3424670166674559;536.3872637132697
2430;1733.629638671875;1003.6988525390625;1975;1000;1.691983188757888;551.20901808712711
2440;1733.629638671875;1003.6988525390625;1975;1000;-41.547364370958633;566.137006451017
2450;1733.629638671875;1003.6988525390625;1975;1000;-18.766173156933647;575.33369963884013
2460;1733.629638671875;1003.6988525390625;1975;1000;-12.88903640606803;523.47082905123966
2470;1750.4600830078125;1002.5969848632813;1975;1000;-17.139263913561024;460.51951338497395
2480;1750.4600830078125;1002.5969848632813;2000;1000;-19.939335578529594;482.64234342517591
2490;1750.4600830078125;1002.5969848632813;2000;1000;-28.168164782024732;522.93579535990887
2500;1750.4600830078125;1002.5969848632813;2000;1000;-29.188503424119972;514.77428997073025
2510;1750.4600830078125;1002.5969848632813;2000;1000;-36.983213712518307;510.5971718199624
2520;1768.7125244140625;1001.9964599609375;2000;1000;-31.735844678323943;512.06548091480124
2530;1768.7125244140625;1001.9964599609375;2025;1000;-15.517463683934537;509.33707145124168
2540;1768.7125244140625;1001.9964599609375;2025;1000;-10.407966253331807;508.86193441819847
2550;1768.7125244140625;1001.9964599609375;2025;1000;-6.4932446359988916;510.51474136588922
2560;1804.533935546875;999.9239501953125;2025;1000;-5.23291979930147;517.95455947623088
2570;1804.533935546875;999.9239501953125;2025;1000;-6.0470067281284088;516.59285032421519
2580;1804.533935546875;999.9239501953125;2050;1000;-13.679718095080077;531.34993803063992
2590;1804.533935546875;999.9239501953125;2050;1000;-14.842697416458705;550.69658271895264
2600;1804.533935546875;999.9239501953125;2050;1000;-10.015925091512557;542.75500245779222
2610;1821.734619140625;999.5374755859375;2050;1000;-6.8710957797110837;531.64390321490418
2620;1821.734619140625;999.5374755859375;2050;1000;-23.475290712758849;517.409094805069
2630;1821.734619140625;999.5374755859375;2075;1000;-22.031432196558981;496.47462627165152
2640;1821.734619140625;999.5374755859375;2075;1000;-0.61525255023991576;494.47655162920978
2650;1838.74267578125;999.2720947265625;2075;1000;-4.60708057127097;498.8905030634304
2660;1838.74267578125;999.2720947265625;2075;1000;-17.792603163326149;527.22447616731847
2670;1838.74267578125;999.2720947265625;2075;1000;-21.9136369545606;536.10972254161175
2680;1838.74267578125;999.2720947265625;2100;1000;17.396129649639363;497.94909069459391
2690;1838.74267578125;999.2720947265625;2100;1000;39.24062787209828;509.78129348317287
2700;1872.631591796875;998.0255126953125;2100;1000;-3.0888893073793042;570.06337178461263
2710;1872.631591796875;998.0255126953125;2100;1000;-19.463148704773573;563.60246890461269
2720;1872.631591796875;998.0255126953125;2100;1000;16.186013445805486;478.1150042646637
2730;1872.631591796875;998.0255126953125;2125;1000;41.4932678371241;430.55366010770859
2740;1891.351806640625;997.8516845703125;2125;1000;10.527243490144358;489.82134194742662
2750;1891.351806640625;997.8516845703125;2125;1000;-0.99612572357054319;541.6980214804596
2760;1891.351806640625;997.8516845703125;2125;1000;34.119027931587439;511.50703272133143
2770;1891.351806640625;997.8516845703125;2125;1000;6.25557500686142;477.40613922075477
2780;1908.6732177734375;999.45611572265625;2150;1000;31.386707140332156;473.52659940837259
2790;1908.6732177734375;999.45611572265625;2150;1000;52.564145031925385;525.70607139674917
2800;1908.6732177734375;999.45611572265625;2150;1000;-15.358858774710114;559.28947010688933
2810;1908.6732177734375;999.45611572265625;2150;1000;-62.717488257777191;523.07105904350749
2820;1943.526611328125;999.50927734375;2150;1000;-7.7428321819153325;427.07147295824774
