Name;YT Scope Project;
File;E:\hawino\Measurements\ParameterEstimation\parameter_in_y_fb8.csv;
Starttime of export;133161975881726000;Donnerstag, 22. Dezember 2022;16:46:28.172
Endtime of export;133161976284495671;Donnerstag, 22. Dezember 2022;16:47:08.449


Name;vtheta;vtheta_ref;vx;vx_ref;vy;vy_ref
3350;0.071738888888888908;0;-20.401393449651916;0;102.34424999999999;100
3360;0.001938888888888901;0;14.507657564196915;0;93.7065;100
3370;-0.065922222222222215;0;27.201857932869213;0;107.3175;100
3380;0.011633333333333353;0;-5.8937358854549968;0;101.29725;100
3390;0.058166666666666658;0;-24.481672139582294;0;87.948;100
3400;-0.021327777777777772;0;4.0802786899303829;0;102.34425;100
3410;0.0058166666666666679;0;17.681207656364986;0;112.29075;100
3420;0.079494444444444437;0;-4.5336429888115353;0;96.324;100
3430;-0.054288888888888893;0;-14.961021863078068;0;90.827249999999992;100
3440;-0.058166666666666658;0;-1.8134571955246135;0;92.6595;100
3450;0.1085777777777778;0;8.6139216787419191;0;98.679750000000013;100
3460;0.079494444444444437;0;9.067285977623067;0;97.8945;100
3470;-0.098883333333333351;0;-0.90672859776230674;0;86.3775;100
3480;-0.032961111111111122;0;-15.414386161959223;0;85.854;100
3490;0.11245555555555556;0;4.0802786899303829;0;81.92775;100
3500;0.058166666666666644;0;20.401393449651909;0;93.44475;100
3510;-0.0038777777777777756;0;-14.054293265315762;0;78.78675;100
3520;-0.0019388888888888746;0;-13.147564667553457;0;81.40425;100
3530;0.027144444444444436;0;9.06728597762307;0;97.894500000000008;100
3540;-0.0096944444444444517;0;-10.427378874266536;0;88.20975;100
3550;-0.017450000000000021;0;-6.3471001843361528;0;87.948000000000022;200
3560;-0.011633333333333319;0;4.9870072876926921;0;98.15625;200
3570;-0.001938888888888901;0;-6.8004644832173051;0;98.679750000000013;200
3580;0.054288888888888873;0;-5.893735885455;0;130.61325;200
3590;0.032961111111111122;0;-6.3471001843361528;0;97.8945;200
3600;-0.079494444444444451;0;2.7201857932869222;0;98.418;200
3610;0.1745;0;12.240836069791149;0;129.56625;200
3620;0.011633333333333336;0;11.787471770909994;0;95.800500000000014;200
3630;-0.15123333333333336;0;3.6269143910492287;0;92.659500000000023;200
3640;0.15511111111111109;0;-9.5206502765042185;0;131.66025000000002;200
3650;0.098883333333333323;0;0.90672859776230463;0;171.18449999999999;200
3660;0.034899999999999987;0;-0.90672859776230874;0;113.07600000000001;200
3670;0.17643888888888887;0;4.9870072876926876;0;111.76725;200
3680;0.09694444444444443;0;6.3471001843361448;0;102.606;200
3690;-0.0077555555555555511;0;10.427378874266536;0;97.109249999999989;200
3700;0.21133888888888891;0;-0.90672859776230463;0;137.6805;200
3710;0.11245555555555556;0;21.308122047414219;0;130.61325000000002;200
3720;-0.0096944444444444344;0;33.095593818324211;0;119.61975000000001;200
3730;0.19970555555555558;0;3.17355009216807;0;132.18375;200
3740;0.2888944444444444;0;2.7201857932869222;0;140.298;200
3750;0.08724999999999998;0;46.243158485877665;0;109.935;200
3760;0.21133888888888888;0;25.841765036225752;0;116.47875;200
3770;0.43237222222222221;0;-19.948029150770751;0;151.815;200
3780;0.34318333333333334;0;-12.694200368672298;0;139.77450000000002;200
3790;0.17256111111111111;0;27.655222231750365;0;114.38475;200
3800;0.29277222222222221;0;19.494664851889603;0;133.75424999999999;200
3810;0.37032777777777781;0;-12.694200368672306;0;140.298;200
3820;0.2598111111111111;0;14.054293265315767;0;126.94875;200
3830;0.2094;0;28.108586530631516;0;135.063;200
3840;0.30634444444444447;0;-9.06728597762307;0;149.721;200
3850;0.41104444444444449;0;-29.015315128393837;0;166.9965;200
3860;0.31216111111111111;0;9.9740145753853842;0;160.71450000000002;200
3870;0.2598111111111111;0;16.77447905860268;0;152.07675;200
3880;0.35481666666666672;0;-5.4403715865738445;0;171.18449999999999;200
3890;0.38196111111111114;0;-20.401393449651916;0;186.62775;200
3900;0.2404222222222222;0;-3.626914391049227;0;180.08399999999998;200
3910;0.21521666666666667;0;-2.2668214944057659;0;181.39275;200
3920;0.34318333333333334;0;5.4403715865738445;0;213.588;200
3930;0.37226666666666669;0;0.45336429888116464;0;212.80274999999998;200
3940;0.17256111111111111;0;-4.5336429888115317;0;187.413;200
3950;0.081433333333333316;0;-2.2668214944057659;0;197.09775;200
3960;0.19388888888888883;0;7.2538287820984539;0;214.635;200
3970;0.19776666666666665;0;3.626914391049235;0;223.011;200
3980;0.052349999999999973;0;-7.70719308097961;0;222.22574999999998;200
3990;0.069799999999999973;0;5.893735885455;0;209.66174999999998;200
4000;0.085311111111111088;0;4.5336429888115317;0;223.5345;200
4010;0.069799999999999945;0;-15.867750460840368;0;228.50775;200
4020;0.025205555555555537;0;-5.8937358854549924;0;224.84325;200
4030;0.0058166666666667026;0;-9.06728597762307;0;230.86350000000002;200
4040;-0.073677777777777856;0;-8.6139216787419226;0;248.40075000000002;200
4050;-0.16092777777777781;0;5.893735885455;0;259.39425;200
4060;-0.11439444444444438;0;-2.2668214944057739;0;238.97775;200
4070;-0.11827222222222225;0;-16.321114759721524;0;243.951;200
4080;-0.21521666666666661;0;-22.668214944057681;0;276.408;200
4090;-0.2171555555555556;0;-16.321114759721524;0;270.6495;200
