Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\cyclicTrajectory.csv;
Starttime of export;133244135421787000;Montag, 27. März 2023;19:59:02.178
Endtime of export;133244136106087000;Montag, 27. März 2023;20:00:10.608


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;thetaObs (1);thetaRef;thetaCam;thetaObs
SampleTime[ms];10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;ControlPRG.observer.xCameraPose.theta;ControlPRG.observer.yObserverdPose.theta
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851

970;1696.813720703125;1612.0748291015625;1663.2836889751961;1753.1625692600533;1650;1964.8170995417645;1.5025422613733865;1.2785665942738078;1.4706358909606934;1.5025422613733865
980;1696.813720703125;1612.0748291015625;1663.8640505656335;1758.018304226207;1650;1964.8170995417645;1.4960330244030797;1.2785665942738078;1.4706358909606934;1.4960330244030797
990;1696.813720703125;1612.0748291015625;1664.1126019342742;1763.1097016346846;1650;1964.8170995417645;1.4873728525452288;1.2785665942738078;1.4706358909606934;1.4873728525452288
1000;1696.813720703125;1612.0748291015625;1663.971505294064;1768.8213427646645;1650;1964.8170995417645;1.4794865102942965;1.2785665942738078;1.4706358909606934;1.4794865102942965
1010;1695.7427978515625;1652.140869140625;1664.3011435367987;1774.532098179086;1650;1989.8170995417643;1.4722763135633865;1.2333918041438894;1.4389885663986206;1.4722763135633865
1020;1695.7427978515625;1652.140869140625;1664.9879390356023;1779.6735150006814;1650;1989.8170995417643;1.4651008940019263;1.2333918041438894;1.4389885663986206;1.4651008940019263
1030;1695.7427978515625;1652.140869140625;1665.1249723902831;1784.7873788234222;1650;1989.8170995417643;1.4563066922189765;1.2333918041438894;1.4389885663986206;1.4563066922189765
1040;1695.7427978515625;1652.140869140625;1664.8490538409076;1790.2879875014069;1650;1989.8170995417643;1.447283609015475;1.2333918041438894;1.4389885663986206;1.447283609015475
1050;1697.868896484375;1671.583984375;1664.8570008640247;1795.63258318441;1650;1989.8170995417643;1.4388066774101316;1.2333918041438894;1.4118950366973877;1.4388066774101316
1060;1697.868896484375;1671.583984375;1665.4302847345523;1800.9885695330995;1650;2014.817099541764;1.4313189554424122;1.1884987581851265;1.4118950366973877;1.4313189554424122
1070;1697.868896484375;1671.583984375;1666.1346609926968;1806.8153889242124;1650;2014.817099541764;1.4228464811348673;1.1884987581851265;1.4118950366973877;1.4228464811348673
1080;1697.868896484375;1671.583984375;1666.2384581105864;1812.3015062351738;1650;2014.817099541764;1.413855176163306;1.1884987581851265;1.4118950366973877;1.413855176163306
