Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\testauftrag.csv;
Starttime of export;133245718363175000;Mittwoch, 29. März 2023;15:57:16.317
Endtime of export;133245718651045081;Mittwoch, 29. März 2023;15:57:45.104


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;thetaObs (1);thetaRef;thetaCam;thetaObs
SampleTime[ms];10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;ControlPRG.observer.xCameraPose.theta;ControlPRG.observer.yObserverdPose.theta
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851

1330;1818.78173828125;1366.885498046875;1818.7883510953238;1366.8885556628691;0;0;-1.579527612417359;0;-1.5795879364013672;-1.579527612417359
1340;1818.78173828125;1366.885498046875;1818.788284967183;1366.888525086709;0;0;-1.579528215657199;0;-1.5795879364013672;-1.579528215657199
1350;1818.78173828125;1366.885498046875;1818.7882195003238;1366.8884948163106;0;0;-1.5795288128646408;0;-1.5795879364013672;-1.5795288128646408
1360;1818.813232421875;1366.89892578125;1818.7881546881331;1366.8884648486162;0;0;-1.5795294041000081;0;-1.5791280269622803;-1.5795294041000081
1370;1818.813232421875;1366.89892578125;1818.7880905240643;1366.8884351805989;0;0;-1.5795299894230217;0;-1.5791280269622803;-1.5795299894230217
1380;1818.813232421875;1366.89892578125;1818.7883419430423;1366.8885400866054;0;0;-1.5795259697984143;0;-1.5791280269622803;-1.5795259697984143
1390;1818.813232421875;1366.89892578125;1818.7885908478306;1366.8886439435519;0;0;-1.579521990370053;0;-1.5791280269622803;-1.579521990370053
1400;1818.801025390625;1366.922607421875;1818.7888372635712;1366.8887467619288;0;0;-1.5795180507359754;0;-1.5798702239990234;-1.5795180507359754
1410;1818.801025390625;1366.922607421875;1818.7890812151543;1366.888848552122;0;0;-1.5795141504982384;0;-1.5798702239990234;-1.5795141504982384
1420;1818.801025390625;1366.922607421875;1818.7892006569091;1366.8891861408195;0;0;-1.5795177112332464;0;-1.5798702239990234;-1.5795177112332464
