SymbolBased;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yKalmanObservedPose.x;ControlPRG.observer.yKalmanObservedPose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851;354;851;851;851;851;851;851;851;354;354

520;970.0123291015625;972.0794677734375;1000.7355840389979;1001.5496439068104;0;0;1000.7355840389979;1001.5496439068104;3.1414244855102007;0;1;970.0123291015625;972.0794677734375;1001.5496439068104;1000.7355840389979;0;0;3.1414244855102007;1;1
530;970.0123291015625;972.0794677734375;999.667889755559;1000.6079169535498;0;0;999.667889755559;1000.6079169535498;3.1390305194642489;0;0;970.0123291015625;972.0794677734375;1000.6079169535498;999.667889755559;0;0;3.1390305194642489;0;0
540;970.0123291015625;972.0794677734375;999.69702354166861;1000.7524950699894;0;0;999.69702354166861;1000.7524950699894;3.139993434847943;0;0;970.0123291015625;972.0794677734375;1000.7524950699894;999.69702354166861;0;0;3.139993434847943;0;0
550;970.0123291015625;972.0794677734375;1000.723203176784;1001.8846690729031;0;0;1000.723203176784;1001.8846690729031;3.1440087183665688;0;0;970.0123291015625;972.0794677734375;1001.8846690729031;1000.723203176784;0;0;3.1440087183665688;0;0
560;970.031005859375;972.13250732421875;1002.6567236682805;1003.9156999106244;0;0;1002.6567236682805;1003.9156999106244;3.1508026198033661;0;0;970.031005859375;972.13250732421875;1003.9156999106244;1002.6567236682805;0;0;3.1508026198033661;0;0
570;970.031005859375;972.13250732421875;1000.4144588268092;1001.7598161994938;0;0;1000.4144588268092;1001.7598161994938;3.1443997000326851;0;1;970.031005859375;972.13250732421875;1001.7598161994938;1000.4144588268092;0;0;3.1443997000326851;1;1
580;970.031005859375;972.13250732421875;999.37665454473859;1000.8018777222756;0;0;999.37665454473859;1000.8018777222756;3.1417238456611685;0;0;970.031005859375;972.13250732421875;1000.8018777222756;999.37665454473859;0;0;3.1417238456611685;0;0
590;970.031005859375;972.13250732421875;999.43266710688113;1000.9319135242065;0;0;999.43266710688113;1000.9319135242065;3.1424332178831214;0;0;970.031005859375;972.13250732421875;1000.9319135242065;999.43266710688113;0;0;3.1424332178831214;0;0
600;970.031005859375;972.13250732421875;1000.4830151929756;1002.0510479816859;0;0;1000.4830151929756;1002.0510479816859;3.1462204704507597;0;0;970.031005859375;972.13250732421875;1002.0510479816859;1000.4830151929756;0;0;3.1462204704507597;0;0
610;970.00927734375;972.128173828125;1002.4382646184284;1004.0703922515163;1000;1000;1002.4382646184284;1004.0703922515163;3.1528093035051934;3.139622104937386;0;970.00927734375;972.128173828125;1004.0703922515163;1002.4382646184284;1000;1000;3.1528093035051934;0;0
620;970.00927734375;972.128173828125;1000.2156500596572;1001.8986541296952;1000;1000;1000.2156500596572;1001.8986541296952;3.1461278161873381;3.139622104937386;1;970.00927734375;972.128173828125;1001.8986541296952;1000.2156500596572;1000;1000;3.1461278161873381;1;1
630;970.00927734375;972.128173828125;999.19550907579378;1000.9264428310894;1000;1000;999.19550907579378;1000.9264428310894;3.1432004720315949;3.139622104937386;0;970.00927734375;972.128173828125;1000.9264428310894;999.19550907579378;1000;1000;3.1432004720315949;0;0
640;970.00927734375;972.128173828125;999.2673964305377;1001.0436292034879;1000;1000;999.2673964305377;1001.0436292034879;3.1436827166660564;3.139622104937386;0;970.00927734375;972.128173828125;1001.0436292034879;999.2673964305377;1000;1000;3.1436827166660564;0;0
650;970.00927734375;972.128173828125;1000.3320094324305;1002.1511952452015;1000;1000;1000.3320094324305;1002.1511952452015;3.1472647597554477;3.139622104937386;0;970.00927734375;972.128173828125;1002.1511952452015;1000.3320094324305;1000;1000;3.1472647597554477;0;0
660;969.9561767578125;972.0533447265625;1002.3000746605835;1004.1601239723644;1000;1000;1002.3000746605835;1004.1601239723644;3.15366810168346;3.139622104937386;0;969.9561767578125;972.0533447265625;1004.1601239723644;1002.3000746605835;1000;1000;3.15366810168346;0;0
670;969.9561767578125;972.0533447265625;1000.085945989161;1001.9719291882;1000;1000;1000.085945989161;1001.9719291882;3.146881726339795;3.139622104937386;1;969.9561767578125;972.0533447265625;1001.9719291882;1000.085945989161;1000;1000;3.146881726339795;1;1
