Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\realTrajectory.csv;
Starttime of export;133228611284515000;Donnerstag, 9. März 2023;19:45:28.451
Endtime of export;133228611419320327;Donnerstag, 9. März 2023;19:45:41.932


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;xObs, yObs X;xObs, yObs Y;vYworldToSimulink;vXworldToSimulink;e
SampleTime[ms];10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.yObserverdPose.x;TrackingController.observer.yObserverdPose.y;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink;Camera.cameraData.robotPosition[2].e
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851;851;851;851

1510;1526.726806640625;1005.73828125;1745;1000;1575.2776289316905;1004.5262109592402;-13.879577657662708;460.43227946317893;1.4748680591583252
1520;1526.726806640625;1005.73828125;1745;1000;1581.9806276074094;1003.9086521938712;-12.035973140308897;469.77698715039259;1.4748680591583252
1530;1526.726806640625;1005.73828125;1745;1000;1587.5154925417035;1003.3384362885014;-19.540841349394938;463.64089340492677;1.4748680591583252
1540;1526.726806640625;1005.73828125;1745;1000;1592.9026859732287;1002.8800347554299;-25.45212854815972;417.09464053870232;1.4748680591583252
1550;1526.726806640625;1005.73828125;1745;1000;1597.1668318402133;1002.569516039231;-12.683181603962339;426.26168830869074;1.4748680591583252
1560;1526.726806640625;1005.73828125;1775;1000;1600.5406059220695;1002.3444299221676;-27.339705475018491;459.02811376882181;3.6782462596893311
1570;1539.936279296875;1006.070068359375;1775;1000;1603.1286995234013;1002.1284556193344;-37.6244800865866;491.24726655059419;3.6782462596893311
1580;1539.936279296875;1006.070068359375;1775;1000;1605.1168167266126;1001.9661576706519;-59.043633393529319;518.176387771452;3.6782462596893311
1590;1539.936279296875;1006.070068359375;1775;1000;1609.922838110215;1001.9470989357125;-71.3278617754023;502.13605471374774;3.6782462596893311
1600;1539.936279296875;1006.070068359375;1775;1000;1613.7956118574084;1001.9672789091673;-36.179435839665487;439.58850459880352;3.6782462596893311
1610;1539.936279296875;1006.070068359375;1806.25;1000;1616.9695167272982;1001.9431076003323;-3.834662100393345;450.405238019472;3.4931354522705078
1620;1567.197998046875;1003.7217407226563;1806.25;1000;1619.5774727409198;1001.8605262915897;-7.0237733218517207;510.40963219142981;3.4931354522705078
1630;1567.197998046875;1003.7217407226563;1806.25;1000;1621.6726891685025;1001.7501489518972;-21.575760397124967;504.38495245260833;3.4931354522705078
1640;1567.197998046875;1003.7217407226563;1806.25;1000;1629.1970740802165;1001.2388617592359;-3.5042114163209419;522.93173605489528;3.4931354522705078
1650;1567.197998046875;1003.7217407226563;1806.25;1000;1635.4398422349086;1000.8799910798829;-25.633214774908978;541.82873395859224;3.4931354522705078
